-9.82638	2.70307e-21	-10.3263	1.75512e-23
-9.14022	1.81059e-18	-9.32464	3.29903e-19
-9.04243	4.4049e-18	-9.00214	6.33569e-18
-8.90428	1.52157e-17	-8.96895	8.53751e-18
-8.89834	1.60423e-17	-8.70781	8.58408e-17
-8.23172	4.84112e-15	-8.46556	6.87203e-16
-7.70338	3.25939e-13	-8.33439	2.0682e-15
-7.68654	3.71028e-13	-7.96102	4.33286e-14
-7.63597	5.4658e-13	-7.39075	3.45006e-12
-7.58848	7.8461e-13	-7.2435	1.01333e-11
-7.45242	2.1829e-12	-7.11675	2.51758e-11
-7.3984	3.26016e-12	-7.01944	5.00818e-11
-7.35458	4.50427e-12	-6.78175	2.58235e-10
-7.29353	7.04384e-12	-6.72594	3.76458e-10
-7.26781	8.4948e-12	-6.71197	4.13512e-10
-7.25449	9.35693e-12	-6.57995	9.94366e-10
-7.23559	1.07307e-11	-6.54633	1.23988e-09
-7.08751	3.09871e-11	-6.53689	1.31879e-09
-7.07337	3.42487e-11	-6.47301	1.99823e-09
-7.04409	4.21142e-11	-6.45348	2.26715e-09
-7.04091	4.30677e-11	-6.44952	2.32575e-09
-6.99267	6.04165e-11	-6.43442	2.56344e-09
-6.4861	1.8358e-09	-6.39343	3.33411e-09
-6.47662	1.95215e-09	-6.38745	3.46418e-09
-6.36301	4.04817e-09	-6.37939	3.64701e-09
-6.31676	5.42738e-09	-6.36943	3.886e-09
-6.27169	7.20761e-09	-6.36476	4.00322e-09
-6.25165	8.17149e-09	-6.31338	5.54456e-09
-6.23157	9.26237e-09	-6.25332	8.08652e-09
-6.2176	1.0104e-08	-6.22872	9.42819e-09
-6.18598	1.22934e-08	-6.20861	1.06842e-08
-6.15982	1.44475e-08	-6.14192	1.61287e-08
-6.14573	1.57556e-08	-6.10602	2.00954e-08
-6.07022	2.49882e-08	-6.05211	2.7888e-08
-6.02536	3.27759e-08	-6.04807	2.8577e-08
-6.0018	3.7765e-08	-6.00154	3.78249e-08
-5.99132	4.02162e-08	-5.93788	5.53124e-08
-5.89664	7.0601e-08	-5.91998	6.15044e-08
-5.85005	9.28217e-08	-5.91928	6.17604e-08
-5.82172	1.0951e-07	-5.90294	6.80223e-08
-5.81717	1.12444e-07	-5.87475	8.03066e-08
-5.77294	1.45299e-07	-5.71214	2.06012e-07
-5.7578	1.58551e-07	-5.61933	3.48544e-07
-5.72437	1.92096e-07	-5.55162	5.08761e-07
-5.71025	2.08248e-07	-5.50566	6.55916e-07
